fps,Fitness,Exploitation_Rate
0,24549.7516085871,0.761196
1,24549.7516085871,0.761196
2,24549.7516085871,0.761196
3,24549.7516085871,0.761196
4,24549.7516085871,0.761196
5,24549.7516085871,0.761196
6,24549.7516085871,0.761196
7,24549.7516085871,0.761196
8,24549.7516085871,0.761196
9,24549.7516085871,0.761196
10,24549.7516085871,0.761196
11,24549.7516085871,0.761196
12,24549.7516085871,0.761196
13,24549.7516085871,0.761196
14,24549.7516085871,0.761196
15,24549.7516085871,0.761196
16,24549.7516085871,0.761196
17,24549.7516085871,0.761196
18,24549.7516085871,0.761196
19,24549.7516085871,0.761196
20,24549.7516085871,0.761196
21,24549.7516085871,0.761196
22,24549.7516085871,0.761196
23,24549.7516085871,0.761196
24,24549.7516085871,0.761196
25,24549.7516085871,0.761196
26,24549.7516085871,0.761196
27,24549.7516085871,0.761196
28,24549.7516085871,0.761196
29,24549.7516085871,0.761196
30,24549.7516085871,0.761196
31,24549.7516085871,0.761196
32,24549.7516085871,0.761196
33,24549.7516085871,0.761196
34,24549.7516085871,0.761196
35,24549.7516085871,0.761196
36,24549.7516085871,0.761196
37,24549.7516085871,0.761196
38,24549.7516085871,0.761196
39,24549.7516085871,0.761196
40,24549.7516085871,0.761196
41,24549.7516085871,0.761196
42,24549.7516085871,0.761196
43,24549.7516085871,0.761196
44,24549.7516085871,0.761196
45,24549.7516085871,0.761196
46,24549.7516085871,0.761196
47,24549.7516085871,0.761196
48,24549.7516085871,0.761196
49,24549.7516085871,0.761196
50,24549.7516085871,0.7249423
51,24549.7516085871,0.7249423
52,24549.7516085871,0.7249423
53,24549.7516085871,0.7249423
54,24549.7516085871,0.7249423
55,24549.7516085871,0.7249423
56,24549.7516085871,0.7249423
57,24549.7516085871,0.7249423
58,24549.7516085871,0.7249423
59,24549.7516085871,0.7249423
60,24549.7516085871,0.7249423
61,24549.7516085871,0.7249423
62,24549.7516085871,0.7249423
63,24549.7516085871,0.7249423
64,24549.7516085871,0.7249423
65,24549.7516085871,0.7249423
66,24549.7516085871,0.7249423
67,24549.7516085871,0.7249423
68,24549.7516085871,0.7249423
69,24549.7516085871,0.7249423
70,24549.7516085871,0.7249423
71,24549.7516085871,0.7249423
72,24549.7516085871,0.7249423
73,24549.7516085871,0.7249423
74,24549.7516085871,0.7249423
75,24549.7516085871,0.7249423
76,24549.7516085871,0.7249423
77,24549.7516085871,0.7249423
78,24549.7516085871,0.7249423
79,24549.7516085871,0.7249423
80,24549.7516085871,0.7249423
81,24549.7516085871,0.7249423
82,24549.7516085871,0.7249423
83,24549.7516085871,0.7249423
84,24549.7516085871,0.7249423
85,24549.7516085871,0.7249423
86,24549.7516085871,0.7249423
87,24549.7516085871,0.7249423
88,24549.7516085871,0.7249423
89,24549.7516085871,0.7249423
90,24549.7516085871,0.7249423
91,24549.7516085871,0.7249423
92,24549.7516085871,0.7249423
93,24549.7516085871,0.7249423
94,24549.7516085871,0.7249423
95,24549.7516085871,0.7249423
96,24549.7516085871,0.7249423
97,24549.7516085871,0.7249423
98,24549.7516085871,0.7249423
99,24549.7516085871,0.7249423
100,24549.7516085871,0.6943701
101,24549.7516085871,0.6943701
102,24549.7516085871,0.6943701
103,24549.7516085871,0.6943701
104,24549.7516085871,0.6943701
105,24549.7516085871,0.6943701
106,24549.7516085871,0.6943701
107,24549.7516085871,0.6943701
108,24549.7516085871,0.6943701
109,24549.7516085871,0.6943701
110,24549.7516085871,0.6943701
111,24549.7516085871,0.6943701
112,24549.7516085871,0.6943701
113,24549.7516085871,0.6943701
114,24549.7516085871,0.6943701
115,24549.7516085871,0.6943701
116,24549.7516085871,0.6943701
117,24549.7516085871,0.6943701
118,24549.7516085871,0.6943701
119,24549.7516085871,0.6943701
120,24549.7516085871,0.6943701
121,24549.7516085871,0.6943701
122,24549.7516085871,0.6943701
123,24549.7516085871,0.6943701
124,24549.7516085871,0.6943701
125,14326.340993876685,0.6943701
126,14326.340993876685,0.6943701
127,14326.340993876685,0.6943701
128,14326.340993876685,0.6943701
129,14326.340993876685,0.6943701
130,14326.340993876685,0.6943701
131,14326.340993876685,0.6943701
132,14326.340993876685,0.6943701
133,14326.340993876685,0.6943701
134,14326.340993876685,0.6943701
135,14326.340993876685,0.6943701
136,14326.340993876685,0.6943701
137,14326.340993876685,0.6943701
138,14326.340993876685,0.6943701
139,14326.340993876685,0.6943701
140,14326.340993876685,0.6943701
141,14326.340993876685,0.6943701
142,14326.340993876685,0.6943701
143,14326.340993876685,0.6943701
144,14326.340993876685,0.6943701
145,14326.340993876685,0.6943701
146,14326.340993876685,0.6943701
147,14326.340993876685,0.6943701
148,14326.340993876685,0.6943701
149,14326.340993876685,0.6943701
150,14326.340993876685,0.5958426
151,14326.340993876685,0.5958426
152,14326.340993876685,0.5958426
153,14326.340993876685,0.5958426
154,14326.340993876685,0.5958426
155,14326.340993876685,0.5958426
156,14326.340993876685,0.5958426
157,14326.340993876685,0.5958426
158,14326.340993876685,0.5958426
159,14326.340993876685,0.5958426
160,14326.340993876685,0.5958426
161,14326.340993876685,0.5958426
162,14326.340993876685,0.5958426
163,14326.340993876685,0.5958426
164,14326.340993876685,0.5958426
165,14326.340993876685,0.5958426
166,14326.340993876685,0.5958426
167,14326.340993876685,0.5958426
168,14326.340993876685,0.5958426
169,14326.340993876685,0.5958426
170,14326.340993876685,0.5958426
171,14326.340993876685,0.5958426
172,14326.340993876685,0.5958426
173,14326.340993876685,0.5958426
174,14326.340993876685,0.5958426
175,14326.340993876685,0.5958426
176,14326.340993876685,0.5958426
177,14326.340993876685,0.5958426
178,14326.340993876685,0.5958426
179,14326.340993876685,0.5958426
180,14326.340993876685,0.5958426
181,14326.340993876685,0.5958426
182,14326.340993876685,0.5958426
183,14326.340993876685,0.5958426
184,14326.340993876685,0.5958426
185,14326.340993876685,0.5958426
186,14326.340993876685,0.5958426
187,14326.340993876685,0.5958426
188,14326.340993876685,0.5958426
189,14326.340993876685,0.5958426
190,14326.340993876685,0.5958426
191,14326.340993876685,0.5958426
192,14326.340993876685,0.5958426
193,14326.340993876685,0.5958426
194,14326.340993876685,0.5958426
195,14326.340993876685,0.5958426
196,14326.340993876685,0.5958426
197,14326.340993876685,0.5958426
198,14326.340993876685,0.5958426
199,14326.340993876685,0.5958426
200,14326.340993876685,0.55321324
201,14326.340993876685,0.55321324
202,14326.340993876685,0.55321324
203,14326.340993876685,0.55321324
204,14326.340993876685,0.55321324
205,14326.340993876685,0.55321324
206,14326.340993876685,0.55321324
207,14326.340993876685,0.55321324
208,14326.340993876685,0.55321324
209,14326.340993876685,0.55321324
210,14326.340993876685,0.55321324
211,14326.340993876685,0.55321324
212,14326.340993876685,0.55321324
213,14326.340993876685,0.55321324
214,14326.340993876685,0.55321324
215,14326.340993876685,0.55321324
216,14326.340993876685,0.55321324
217,14326.340993876685,0.55321324
218,14326.340993876685,0.55321324
219,14326.340993876685,0.55321324
220,14326.340993876685,0.55321324
221,14326.340993876685,0.55321324
222,14326.340993876685,0.55321324
223,14326.340993876685,0.55321324
224,14326.340993876685,0.55321324
225,14326.340993876685,0.55321324
226,14326.340993876685,0.55321324
227,14326.340993876685,0.55321324
228,14326.340993876685,0.55321324
229,14326.340993876685,0.55321324
230,14326.340993876685,0.55321324
231,14326.340993876685,0.55321324
232,14326.340993876685,0.55321324
233,14326.340993876685,0.55321324
234,14326.340993876685,0.55321324
235,14326.340993876685,0.55321324
236,14326.340993876685,0.55321324
237,14326.340993876685,0.55321324
238,14326.340993876685,0.55321324
239,14326.340993876685,0.55321324
240,14326.340993876685,0.55321324
241,14326.340993876685,0.55321324
242,14326.340993876685,0.55321324
243,14326.340993876685,0.55321324
244,14326.340993876685,0.55321324
245,14326.340993876685,0.55321324
246,14326.340993876685,0.55321324
247,14326.340993876685,0.55321324
248,14326.340993876685,0.55321324
249,14326.340993876685,0.55321324
250,14326.340993876685,0.52658606
251,14326.340993876685,0.52658606
252,14326.340993876685,0.52658606
253,14326.340993876685,0.52658606
254,14326.340993876685,0.52658606
255,14326.340993876685,0.52658606
256,14326.340993876685,0.52658606
257,14326.340993876685,0.52658606
258,14326.340993876685,0.52658606
259,14326.340993876685,0.52658606
260,14326.340993876685,0.52658606
261,13301.477137894035,0.52658606
262,13301.477137894035,0.52658606
263,13301.477137894035,0.52658606
264,13301.477137894035,0.52658606
265,13301.477137894035,0.52658606
266,13301.477137894035,0.52658606
