fps,Fitness,Exploitation_Rate
0,2373096704.7359138,0.19242461
1,2373096704.7359138,0.19242461
2,2373096704.7359138,0.19242461
3,2373096704.7359138,0.19242461
4,2373096704.7359138,0.19242461
5,2373096704.7359138,0.19242461
6,901077159.9292697,0.19242461
7,901077159.9292697,0.19242461
8,901077159.9292697,0.19242461
9,901077159.9292697,0.19242461
10,901077159.9292697,0.19242461
11,901077159.9292697,0.19242461
12,901077159.9292697,0.19242461
13,901077159.9292697,0.19242461
14,901077159.9292697,0.19242461
15,901077159.9292697,0.19242461
16,901077159.9292697,0.19242461
17,901077159.9292697,0.19242461
18,901077159.9292697,0.19242461
19,901077159.9292697,0.19242461
20,901077159.9292697,0.19242461
21,901077159.9292697,0.19242461
22,901077159.9292697,0.19242461
23,901077159.9292697,0.19242461
24,901077159.9292697,0.19242461
25,901077159.9292697,0.19242461
26,901077159.9292697,0.19242461
27,901077159.9292697,0.19242461
28,901077159.9292697,0.19242461
29,901077159.9292697,0.19242461
30,901077159.9292697,0.19242461
31,901077159.9292697,0.19242461
32,901077159.9292697,0.19242461
33,901077159.9292697,0.19242461
34,901077159.9292697,0.19242461
35,901077159.9292697,0.19242461
36,901077159.9292697,0.19242461
37,901077159.9292697,0.19242461
38,901077159.9292697,0.19242461
39,901077159.9292697,0.19242461
40,901077159.9292697,0.19242461
41,901077159.9292697,0.19242461
42,901077159.9292697,0.19242461
43,901077159.9292697,0.19242461
44,901077159.9292697,0.19242461
45,901077159.9292697,0.19242461
46,901077159.9292697,0.19242461
47,901077159.9292697,0.19242461
48,901077159.9292697,0.19242461
49,901077159.9292697,0.19242461
50,901077159.9292697,0.2333349
51,901077159.9292697,0.2333349
52,901077159.9292697,0.2333349
53,901077159.9292697,0.2333349
54,901077159.9292697,0.2333349
55,901077159.9292697,0.2333349
56,901077159.9292697,0.2333349
57,901077159.9292697,0.2333349
58,901077159.9292697,0.2333349
59,901077159.9292697,0.2333349
60,901077159.9292697,0.2333349
61,901077159.9292697,0.2333349
62,901077159.9292697,0.2333349
63,901077159.9292697,0.2333349
64,901077159.9292697,0.2333349
65,901077159.9292697,0.2333349
66,901077159.9292697,0.2333349
67,901077159.9292697,0.2333349
68,901077159.9292697,0.2333349
69,901077159.9292697,0.2333349
70,901077159.9292697,0.2333349
71,901077159.9292697,0.2333349
72,901077159.9292697,0.2333349
73,901077159.9292697,0.2333349
74,901077159.9292697,0.2333349
75,901077159.9292697,0.2333349
76,901077159.9292697,0.2333349
77,901077159.9292697,0.2333349
78,901077159.9292697,0.2333349
79,901077159.9292697,0.2333349
80,901077159.9292697,0.2333349
81,901077159.9292697,0.2333349
82,901077159.9292697,0.2333349
83,901077159.9292697,0.2333349
84,901077159.9292697,0.2333349
85,901077159.9292697,0.2333349
86,901077159.9292697,0.2333349
87,901077159.9292697,0.2333349
88,901077159.9292697,0.2333349
89,901077159.9292697,0.2333349
90,901077159.9292697,0.2333349
91,901077159.9292697,0.2333349
92,901077159.9292697,0.2333349
93,901077159.9292697,0.2333349
94,901077159.9292697,0.2333349
95,901077159.9292697,0.2333349
96,901077159.9292697,0.2333349
97,901077159.9292697,0.2333349
98,901077159.9292697,0.2333349
99,901077159.9292697,0.2333349
100,901077159.9292697,0.20674615
101,901077159.9292697,0.20674615
102,901077159.9292697,0.20674615
103,901077159.9292697,0.20674615
104,901077159.9292697,0.20674615
105,901077159.9292697,0.20674615
106,901077159.9292697,0.20674615
107,901077159.9292697,0.20674615
108,901077159.9292697,0.20674615
109,901077159.9292697,0.20674615
110,901077159.9292697,0.20674615
111,901077159.9292697,0.20674615
112,901077159.9292697,0.20674615
113,901077159.9292697,0.20674615
114,901077159.9292697,0.20674615
115,141524606.9580143,0.20674615
116,141524606.9580143,0.20674615
117,141524606.9580143,0.20674615
118,141524606.9580143,0.20674615
119,141524606.9580143,0.20674615
120,141524606.9580143,0.20674615
121,141524606.9580143,0.20674615
122,141524606.9580143,0.20674615
123,141524606.9580143,0.20674615
124,141524606.9580143,0.20674615
125,141524606.9580143,0.20674615
126,141524606.9580143,0.20674615
127,141524606.9580143,0.20674615
128,141524606.9580143,0.20674615
129,141524606.9580143,0.20674615
130,141524606.9580143,0.20674615
131,141524606.9580143,0.20674615
132,141524606.9580143,0.20674615
133,141524606.9580143,0.20674615
134,141524606.9580143,0.20674615
135,141524606.9580143,0.20674615
136,141524606.9580143,0.20674615
137,141524606.9580143,0.20674615
138,141524606.9580143,0.20674615
139,141524606.9580143,0.20674615
140,141524606.9580143,0.20674615
141,141524606.9580143,0.20674615
142,141524606.9580143,0.20674615
143,141524606.9580143,0.20674615
144,141524606.9580143,0.20674615
145,141524606.9580143,0.20674615
146,141524606.9580143,0.20674615
147,141524606.9580143,0.20674615
148,141524606.9580143,0.20674615
149,141524606.9580143,0.20674615
150,141524606.9580143,0.24099562
151,141524606.9580143,0.24099562
152,141524606.9580143,0.24099562
153,141524606.9580143,0.24099562
154,141524606.9580143,0.24099562
155,141524606.9580143,0.24099562
156,141524606.9580143,0.24099562
157,141524606.9580143,0.24099562
158,141524606.9580143,0.24099562
159,141524606.9580143,0.24099562
160,141524606.9580143,0.24099562
161,141524606.9580143,0.24099562
162,141524606.9580143,0.24099562
163,141524606.9580143,0.24099562
164,141524606.9580143,0.24099562
165,141524606.9580143,0.24099562
166,141524606.9580143,0.24099562
167,141524606.9580143,0.24099562
168,141524606.9580143,0.24099562
169,141524606.9580143,0.24099562
170,141524606.9580143,0.24099562
171,141524606.9580143,0.24099562
172,141524606.9580143,0.24099562
173,141524606.9580143,0.24099562
174,141524606.9580143,0.24099562
175,141524606.9580143,0.24099562
176,141524606.9580143,0.24099562
177,141524606.9580143,0.24099562
178,141524606.9580143,0.24099562
179,141524606.9580143,0.24099562
180,141524606.9580143,0.24099562
181,141524606.9580143,0.24099562
182,141524606.9580143,0.24099562
183,141524606.9580143,0.24099562
184,141524606.9580143,0.24099562
185,141524606.9580143,0.24099562
186,141524606.9580143,0.24099562
187,141524606.9580143,0.24099562
188,141524606.9580143,0.24099562
189,141524606.9580143,0.24099562
190,141524606.9580143,0.24099562
191,141524606.9580143,0.24099562
192,141524606.9580143,0.24099562
193,141524606.9580143,0.24099562
194,141524606.9580143,0.24099562
195,141524606.9580143,0.24099562
196,141524606.9580143,0.24099562
197,141524606.9580143,0.24099562
198,141524606.9580143,0.24099562
199,141524606.9580143,0.24099562
200,141524606.9580143,0.22147448
201,141524606.9580143,0.22147448
202,141524606.9580143,0.22147448
203,141524606.9580143,0.22147448
204,141524606.9580143,0.22147448
205,141524606.9580143,0.22147448
206,141524606.9580143,0.22147448
207,141524606.9580143,0.22147448
208,141524606.9580143,0.22147448
209,141524606.9580143,0.22147448
210,141524606.9580143,0.22147448
211,141524606.9580143,0.22147448
212,141524606.9580143,0.22147448
213,141524606.9580143,0.22147448
214,141524606.9580143,0.22147448
215,141524606.9580143,0.22147448
216,141524606.9580143,0.22147448
217,141524606.9580143,0.22147448
218,141524606.9580143,0.22147448
219,141524606.9580143,0.22147448
220,141524606.9580143,0.22147448
221,141524606.9580143,0.22147448
222,141524606.9580143,0.22147448
223,141524606.9580143,0.22147448
224,141524606.9580143,0.22147448
225,141524606.9580143,0.22147448
226,141524606.9580143,0.22147448
227,141524606.9580143,0.22147448
228,141524606.9580143,0.22147448
229,141524606.9580143,0.22147448
230,141524606.9580143,0.22147448
231,141524606.9580143,0.22147448
232,141524606.9580143,0.22147448
233,141524606.9580143,0.22147448
234,141524606.9580143,0.22147448
235,141524606.9580143,0.22147448
236,141524606.9580143,0.22147448
237,141524606.9580143,0.22147448
238,141524606.9580143,0.22147448
239,141524606.9580143,0.22147448
240,141524606.9580143,0.22147448
241,141524606.9580143,0.22147448
242,141524606.9580143,0.22147448
243,141524606.9580143,0.22147448
244,141524606.9580143,0.22147448
245,141524606.9580143,0.22147448
246,141524606.9580143,0.22147448
247,141524606.9580143,0.22147448
248,55896970.02310494,0.22147448
249,55896970.02310494,0.22147448
250,55896970.02310494,0.25027347
251,55896970.02310494,0.25027347
252,55896970.02310494,0.25027347
253,55896970.02310494,0.25027347
254,55896970.02310494,0.25027347
255,55896970.02310494,0.25027347
256,55896970.02310494,0.25027347
257,55896970.02310494,0.25027347
258,55896970.02310494,0.25027347
259,55896970.02310494,0.25027347
260,55896970.02310494,0.25027347
261,55896970.02310494,0.25027347
262,55896970.02310494,0.25027347
263,55896970.02310494,0.25027347
264,55896970.02310494,0.25027347
265,55896970.02310494,0.25027347
266,55896970.02310494,0.25027347
267,55896970.02310494,0.25027347
268,55896970.02310494,0.25027347
269,55896970.02310494,0.25027347
270,55896970.02310494,0.25027347
271,55896970.02310494,0.25027347
272,55896970.02310494,0.25027347
273,55896970.02310494,0.25027347
274,55896970.02310494,0.25027347
275,55896970.02310494,0.25027347
276,55896970.02310494,0.25027347
277,55896970.02310494,0.25027347
278,55896970.02310494,0.25027347
279,55896970.02310494,0.25027347
280,55896970.02310494,0.25027347
281,55896970.02310494,0.25027347
282,55896970.02310494,0.25027347
283,55896970.02310494,0.25027347
284,55896970.02310494,0.25027347
285,55896970.02310494,0.25027347
286,55896970.02310494,0.25027347
287,55896970.02310494,0.25027347
288,55896970.02310494,0.25027347
289,55896970.02310494,0.25027347
290,55896970.02310494,0.25027347
291,55896970.02310494,0.25027347
292,55896970.02310494,0.25027347
293,55896970.02310494,0.25027347
294,55896970.02310494,0.25027347
295,55896970.02310494,0.25027347
296,55896970.02310494,0.25027347
297,55896970.02310494,0.25027347
298,55896970.02310494,0.25027347
299,55896970.02310494,0.25027347
300,55896970.02310494,0.23037669
301,55896970.02310494,0.23037669
302,55896970.02310494,0.23037669
303,55896970.02310494,0.23037669
304,55896970.02310494,0.23037669
305,55896970.02310494,0.23037669
306,55896970.02310494,0.23037669
307,55896970.02310494,0.23037669
308,55896970.02310494,0.23037669
309,55896970.02310494,0.23037669
310,55896970.02310494,0.23037669
311,55896970.02310494,0.23037669
312,55896970.02310494,0.23037669
313,55896970.02310494,0.23037669
314,55896970.02310494,0.23037669
315,55896970.02310494,0.23037669
316,55896970.02310494,0.23037669
317,55896970.02310494,0.23037669
318,55896970.02310494,0.23037669
319,55896970.02310494,0.23037669
320,55896970.02310494,0.23037669
321,55896970.02310494,0.23037669
322,55896970.02310494,0.23037669
323,55896970.02310494,0.23037669
324,55896970.02310494,0.23037669
325,55896970.02310494,0.23037669
326,55896970.02310494,0.23037669
327,55896970.02310494,0.23037669
328,55896970.02310494,0.23037669
329,55896970.02310494,0.23037669
330,55896970.02310494,0.23037669
331,55896970.02310494,0.23037669
332,55896970.02310494,0.23037669
333,55896970.02310494,0.23037669
334,55896970.02310494,0.23037669
335,55896970.02310494,0.23037669
336,55896970.02310494,0.23037669
337,55896970.02310494,0.23037669
338,55896970.02310494,0.23037669
339,55896970.02310494,0.23037669
340,55896970.02310494,0.23037669
341,55896970.02310494,0.23037669
342,55896970.02310494,0.23037669
343,55896970.02310494,0.23037669
344,55896970.02310494,0.23037669
345,55896970.02310494,0.23037669
346,55896970.02310494,0.23037669
347,55896970.02310494,0.23037669
348,55896970.02310494,0.23037669
349,55896970.02310494,0.23037669
350,55896970.02310494,0.100329965
351,55896970.02310494,0.100329965
352,55896970.02310494,0.100329965
353,55896970.02310494,0.100329965
354,55896970.02310494,0.100329965
355,55896970.02310494,0.100329965
356,55896970.02310494,0.100329965
357,55896970.02310494,0.100329965
358,55896970.02310494,0.100329965
359,55896970.02310494,0.100329965
360,55896970.02310494,0.100329965
361,55896970.02310494,0.100329965
362,55896970.02310494,0.100329965
363,55896970.02310494,0.100329965
364,55896970.02310494,0.100329965
365,55896970.02310494,0.100329965
366,55896970.02310494,0.100329965
367,55896970.02310494,0.100329965
368,55896970.02310494,0.100329965
369,55896970.02310494,0.100329965
370,55896970.02310494,0.100329965
371,55896970.02310494,0.100329965
372,55896970.02310494,0.100329965
373,55896970.02310494,0.100329965
374,55896970.02310494,0.100329965
375,55896970.02310494,0.100329965
376,55896970.02310494,0.100329965
377,55896970.02310494,0.100329965
378,55896970.02310494,0.100329965
379,55896970.02310494,0.100329965
380,55896970.02310494,0.100329965
381,55896970.02310494,0.100329965
382,55896970.02310494,0.100329965
383,55896970.02310494,0.100329965
384,55896970.02310494,0.100329965
385,55896970.02310494,0.100329965
386,55896970.02310494,0.100329965
387,55896970.02310494,0.100329965
388,55896970.02310494,0.100329965
389,55896970.02310494,0.100329965
390,55896970.02310494,0.100329965
391,55896970.02310494,0.100329965
392,55896970.02310494,0.100329965
393,55896970.02310494,0.100329965
394,55896970.02310494,0.100329965
395,55896970.02310494,0.100329965
396,55896970.02310494,0.100329965
397,55896970.02310494,0.100329965
398,55896970.02310494,0.100329965
399,55896970.02310494,0.100329965
400,55896970.02310494,0.0
401,55896970.02310494,0.0
402,55896970.02310494,0.0
403,55896970.02310494,0.0
404,55896970.02310494,0.0
405,55896970.02310494,0.0
406,55896970.02310494,0.0
407,55896970.02310494,0.0
408,55896970.02310494,0.0
409,55896970.02310494,0.0
410,55896970.02310494,0.0
411,55896970.02310494,0.0
412,55896970.02310494,0.0
413,55896970.02310494,0.0
414,55896970.02310494,0.0
415,55896970.02310494,0.0
416,55896970.02310494,0.0
417,55896970.02310494,0.0
418,55896970.02310494,0.0
419,55896970.02310494,0.0
420,55896970.02310494,0.0
421,55896970.02310494,0.0
422,55896970.02310494,0.0
423,55896970.02310494,0.0
424,55896970.02310494,0.0
425,55896970.02310494,0.0
426,55896970.02310494,0.0
427,55896970.02310494,0.0
428,55896970.02310494,0.0
429,55896970.02310494,0.0
430,55896970.02310494,0.0
431,55896970.02310494,0.0
432,55896970.02310494,0.0
433,55896970.02310494,0.0
434,55896970.02310494,0.0
435,55896970.02310494,0.0
436,55896970.02310494,0.0
437,55896970.02310494,0.0
438,55896970.02310494,0.0
439,55896970.02310494,0.0
440,55896970.02310494,0.0
441,55896970.02310494,0.0
442,55896970.02310494,0.0
443,55896970.02310494,0.0
444,55896970.02310494,0.0
445,55896970.02310494,0.0
446,55896970.02310494,0.0
447,55896970.02310494,0.0
448,55896970.02310494,0.0
449,55896970.02310494,0.0
450,55896970.02310494,0.0
451,55896970.02310494,0.0
452,55896970.02310494,0.0
453,55896970.02310494,0.0
454,55896970.02310494,0.0
455,55896970.02310494,0.0
456,55896970.02310494,0.0
457,55896970.02310494,0.0
458,55896970.02310494,0.0
459,55896970.02310494,0.0
460,55896970.02310494,0.0
461,55896970.02310494,0.0
462,55896970.02310494,0.0
463,55896970.02310494,0.0
464,55896970.02310494,0.0
465,55896970.02310494,0.0
466,55896970.02310494,0.0
467,55896970.02310494,0.0
468,55896970.02310494,0.0
469,55896970.02310494,0.0
470,55896970.02310494,0.0
471,55896970.02310494,0.0
472,55896970.02310494,0.0
473,55896970.02310494,0.0
474,55896970.02310494,0.0
475,55896970.02310494,0.0
476,55896970.02310494,0.0
477,55896970.02310494,0.0
478,55896970.02310494,0.0
479,55896970.02310494,0.0
480,55896970.02310494,0.0
481,55896970.02310494,0.0
482,55896970.02310494,0.0
483,5991908.475999897,0.0
484,5991908.475999897,0.0
485,5991908.475999897,0.0
486,5991908.475999897,0.0
487,5991908.475999897,0.0
488,5991908.475999897,0.0
489,5991908.475999897,0.0
490,5991908.475999897,0.0
491,5991908.475999897,0.0
492,5991908.475999897,0.0
493,5991908.475999897,0.0
494,5991908.475999897,0.0
495,5991908.475999897,0.0
496,5991908.475999897,0.0
497,5991908.475999897,0.0
498,5991908.475999897,0.0
499,5991908.475999897,0.0
500,5991908.475999897,0.2630946
501,5991908.475999897,0.2630946
502,5991908.475999897,0.2630946
503,5991908.475999897,0.2630946
504,5991908.475999897,0.2630946
505,5991908.475999897,0.2630946
506,5991908.475999897,0.2630946
507,5991908.475999897,0.2630946
508,5991908.475999897,0.2630946
509,5991908.475999897,0.2630946
510,5991908.475999897,0.2630946
511,5991908.475999897,0.2630946
512,5991908.475999897,0.2630946
513,5991908.475999897,0.2630946
514,5991908.475999897,0.2630946
515,5991908.475999897,0.2630946
516,5991908.475999897,0.2630946
517,5991908.475999897,0.2630946
518,5991908.475999897,0.2630946
519,5991908.475999897,0.2630946
520,5991908.475999897,0.2630946
521,5991908.475999897,0.2630946
522,5991908.475999897,0.2630946
523,5991908.475999897,0.2630946
524,5991908.475999897,0.2630946
525,5991908.475999897,0.2630946
526,5991908.475999897,0.2630946
527,5991908.475999897,0.2630946
528,5991908.475999897,0.2630946
529,5991908.475999897,0.2630946
530,5991908.475999897,0.2630946
531,5991908.475999897,0.2630946
532,5991908.475999897,0.2630946
533,5991908.475999897,0.2630946
534,5991908.475999897,0.2630946
535,5991908.475999897,0.2630946
536,5991908.475999897,0.2630946
537,5991908.475999897,0.2630946
538,5991908.475999897,0.2630946
539,5991908.475999897,0.2630946
540,5991908.475999897,0.2630946
541,5991908.475999897,0.2630946
542,5991908.475999897,0.2630946
543,5991908.475999897,0.2630946
544,5991908.475999897,0.2630946
545,5991908.475999897,0.2630946
546,5991908.475999897,0.2630946
547,5991908.475999897,0.2630946
548,5991908.475999897,0.2630946
549,5991908.475999897,0.2630946
550,5991908.475999897,0.24329336
551,5991908.475999897,0.24329336
552,5991908.475999897,0.24329336
553,5991908.475999897,0.24329336
554,5991908.475999897,0.24329336
555,5991908.475999897,0.24329336
556,5991908.475999897,0.24329336
557,5991908.475999897,0.24329336
558,5991908.475999897,0.24329336
559,5991908.475999897,0.24329336
560,5991908.475999897,0.24329336
561,5991908.475999897,0.24329336
562,5991908.475999897,0.24329336
563,5991908.475999897,0.24329336
564,5991908.475999897,0.24329336
565,5991908.475999897,0.24329336
566,5991908.475999897,0.24329336
567,5991908.475999897,0.24329336
568,5991908.475999897,0.24329336
569,5991908.475999897,0.24329336
570,5991908.475999897,0.24329336
571,5991908.475999897,0.24329336
572,5991908.475999897,0.24329336
573,5991908.475999897,0.24329336
574,5991908.475999897,0.24329336
575,5991908.475999897,0.24329336
576,5991908.475999897,0.24329336
577,5991908.475999897,0.24329336
578,5991908.475999897,0.24329336
579,5991908.475999897,0.24329336
580,5991908.475999897,0.24329336
581,5991908.475999897,0.24329336
582,5991908.475999897,0.24329336
583,5991908.475999897,0.24329336
584,5991908.475999897,0.24329336
