fps,Fitness,Exploitation_Rate
0,158057268.48246476,0.03654679
1,158057268.48246476,0.03654679
2,76988417.8867768,0.03654679
3,76988417.8867768,0.03654679
4,76988417.8867768,0.03654679
5,76988417.8867768,0.03654679
6,76988417.8867768,0.03654679
7,76988417.8867768,0.03654679
8,76988417.8867768,0.03654679
9,76988417.8867768,0.03654679
10,76988417.8867768,0.03654679
11,76988417.8867768,0.03654679
12,76988417.8867768,0.03654679
13,76988417.8867768,0.03654679
14,76988417.8867768,0.03654679
15,76988417.8867768,0.03654679
16,76988417.8867768,0.03654679
17,3193684.9944636356,0.03654679
18,3193684.9944636356,0.03654679
19,3193684.9944636356,0.03654679
20,3193684.9944636356,0.03654679
21,3193684.9944636356,0.03654679
22,3193684.9944636356,0.03654679
23,3193684.9944636356,0.03654679
24,3193684.9944636356,0.03654679
25,3193684.9944636356,0.03654679
26,3193684.9944636356,0.03654679
27,3193684.9944636356,0.03654679
28,3193684.9944636356,0.03654679
29,3193684.9944636356,0.03654679
30,3193684.9944636356,0.03654679
31,3193684.9944636356,0.03654679
32,3193684.9944636356,0.03654679
33,3193684.9944636356,0.03654679
34,3193684.9944636356,0.03654679
35,3193684.9944636356,0.03654679
36,3193684.9944636356,0.03654679
37,3193684.9944636356,0.03654679
38,3193684.9944636356,0.03654679
39,3193684.9944636356,0.03654679
40,3193684.9944636356,0.03654679
41,3193684.9944636356,0.03654679
42,3193684.9944636356,0.03654679
43,3193684.9944636356,0.03654679
44,3193684.9944636356,0.03654679
45,3193684.9944636356,0.03654679
46,3193684.9944636356,0.03654679
47,3193684.9944636356,0.03654679
48,3193684.9944636356,0.03654679
49,3193684.9944636356,0.03654679
50,3193684.9944636356,0.0434132
51,3193684.9944636356,0.0434132
52,3193684.9944636356,0.0434132
53,3193684.9944636356,0.0434132
54,3193684.9944636356,0.0434132
55,3193684.9944636356,0.0434132
56,3193684.9944636356,0.0434132
57,3193684.9944636356,0.0434132
58,3193684.9944636356,0.0434132
59,3193684.9944636356,0.0434132
60,3193684.9944636356,0.0434132
61,3193684.9944636356,0.0434132
62,3193684.9944636356,0.0434132
63,3193684.9944636356,0.0434132
64,3193684.9944636356,0.0434132
65,3193684.9944636356,0.0434132
66,3193684.9944636356,0.0434132
67,3193684.9944636356,0.0434132
68,3193684.9944636356,0.0434132
69,3193684.9944636356,0.0434132
70,3193684.9944636356,0.0434132
71,3193684.9944636356,0.0434132
72,3193684.9944636356,0.0434132
73,3193684.9944636356,0.0434132
74,3193684.9944636356,0.0434132
75,3193684.9944636356,0.0434132
76,3193684.9944636356,0.0434132
77,3193684.9944636356,0.0434132
78,3193684.9944636356,0.0434132
79,3193684.9944636356,0.0434132
80,3193684.9944636356,0.0434132
81,3193684.9944636356,0.0434132
82,3193684.9944636356,0.0434132
83,3193684.9944636356,0.0434132
84,3193684.9944636356,0.0434132
85,3193684.9944636356,0.0434132
86,3193684.9944636356,0.0434132
87,3193684.9944636356,0.0434132
88,3193684.9944636356,0.0434132
89,3193684.9944636356,0.0434132
90,3193684.9944636356,0.0434132
91,3193684.9944636356,0.0434132
92,3193684.9944636356,0.0434132
93,3193684.9944636356,0.0434132
94,3193684.9944636356,0.0434132
95,3193684.9944636356,0.0434132
96,3193684.9944636356,0.0434132
97,3193684.9944636356,0.0434132
98,3193684.9944636356,0.0434132
99,3193684.9944636356,0.0434132
