fps,Fitness,Exploitation_Rate
0,142632.9250823835,0.032779735
1,142632.9250823835,0.032779735
2,142632.9250823835,0.032779735
3,142632.9250823835,0.032779735
4,142632.9250823835,0.032779735
5,142632.9250823835,0.032779735
6,142632.9250823835,0.032779735
7,142632.9250823835,0.032779735
8,142632.9250823835,0.032779735
9,142632.9250823835,0.032779735
10,142632.9250823835,0.032779735
11,142632.9250823835,0.032779735
12,142632.9250823835,0.032779735
13,142632.9250823835,0.032779735
14,142632.9250823835,0.032779735
15,142632.9250823835,0.032779735
16,142632.9250823835,0.032779735
17,142632.9250823835,0.032779735
18,142632.9250823835,0.032779735
19,142632.9250823835,0.032779735
20,142632.9250823835,0.032779735
21,142632.9250823835,0.032779735
22,142632.9250823835,0.032779735
23,142632.9250823835,0.032779735
24,142632.9250823835,0.032779735
25,142632.9250823835,0.032779735
26,142632.9250823835,0.032779735
27,142632.9250823835,0.032779735
28,142632.9250823835,0.032779735
29,142632.9250823835,0.032779735
30,142632.9250823835,0.032779735
31,142632.9250823835,0.032779735
32,142632.9250823835,0.032779735
33,142632.9250823835,0.032779735
34,142632.9250823835,0.032779735
35,142632.9250823835,0.032779735
36,142632.9250823835,0.032779735
37,142632.9250823835,0.032779735
38,142632.9250823835,0.032779735
39,142632.9250823835,0.032779735
40,142632.9250823835,0.032779735
41,142632.9250823835,0.032779735
42,142632.9250823835,0.032779735
43,142632.9250823835,0.032779735
44,142632.9250823835,0.032779735
45,142632.9250823835,0.032779735
46,142632.9250823835,0.032779735
47,142632.9250823835,0.032779735
48,142632.9250823835,0.032779735
49,142632.9250823835,0.032779735
50,142632.9250823835,0.032779735
51,142632.9250823835,0.032779735
52,142632.9250823835,0.032779735
53,142632.9250823835,0.032779735
54,142632.9250823835,0.032779735
55,142632.9250823835,0.032779735
56,142632.9250823835,0.032779735
57,142632.9250823835,0.032779735
58,142632.9250823835,0.032779735
59,142632.9250823835,0.032779735
60,142632.9250823835,0.032779735
61,142632.9250823835,0.032779735
62,142632.9250823835,0.032779735
63,142632.9250823835,0.032779735
64,142632.9250823835,0.032779735
65,142632.9250823835,0.032779735
66,142632.9250823835,0.032779735
67,142632.9250823835,0.032779735
68,142632.9250823835,0.032779735
69,142632.9250823835,0.032779735
70,142632.9250823835,0.032779735
71,142632.9250823835,0.032779735
72,142632.9250823835,0.032779735
73,142632.9250823835,0.032779735
74,142632.9250823835,0.032779735
75,142632.9250823835,0.032779735
76,142632.9250823835,0.032779735
77,142632.9250823835,0.032779735
78,142632.9250823835,0.032779735
79,142632.9250823835,0.032779735
80,142632.9250823835,0.032779735
81,142632.9250823835,0.032779735
82,142632.9250823835,0.032779735
83,142632.9250823835,0.032779735
84,142632.9250823835,0.032779735
85,142632.9250823835,0.032779735
86,142632.9250823835,0.032779735
87,142632.9250823835,0.032779735
88,142632.9250823835,0.032779735
89,142632.9250823835,0.032779735
90,142632.9250823835,0.032779735
91,142632.9250823835,0.032779735
92,142632.9250823835,0.032779735
93,142632.9250823835,0.032779735
94,142632.9250823835,0.032779735
95,142632.9250823835,0.032779735
96,142632.9250823835,0.032779735
97,142632.9250823835,0.032779735
98,142632.9250823835,0.032779735
99,142632.9250823835,0.032779735
100,142632.9250823835,0.030083489
101,142632.9250823835,0.030083489
102,142632.9250823835,0.030083489
103,142632.9250823835,0.030083489
104,142632.9250823835,0.030083489
105,140952.89902304174,0.030083489
106,140952.89902304174,0.030083489
107,140952.89902304174,0.030083489
108,140952.89902304174,0.030083489
109,140952.89902304174,0.030083489
110,140952.89902304174,0.030083489
111,140952.89902304174,0.030083489
112,140952.89902304174,0.030083489
113,140952.89902304174,0.030083489
114,140952.89902304174,0.030083489
115,140952.89902304174,0.030083489
116,140952.89902304174,0.030083489
117,140952.89902304174,0.030083489
118,140952.89902304174,0.030083489
119,140952.89902304174,0.030083489
120,140952.89902304174,0.030083489
121,140952.89902304174,0.030083489
122,140952.89902304174,0.030083489
123,140952.89902304174,0.030083489
124,140952.89902304174,0.030083489
125,140952.89902304174,0.030083489
126,140952.89902304174,0.030083489
127,140952.89902304174,0.030083489
128,140952.89902304174,0.030083489
129,140952.89902304174,0.030083489
130,140952.89902304174,0.030083489
131,140952.89902304174,0.030083489
132,140952.89902304174,0.030083489
133,140952.89902304174,0.030083489
134,140952.89902304174,0.030083489
135,140952.89902304174,0.030083489
136,140952.89902304174,0.030083489
137,140952.89902304174,0.030083489
138,140952.89902304174,0.030083489
139,140952.89902304174,0.030083489
140,140952.89902304174,0.030083489
141,140952.89902304174,0.030083489
142,140952.89902304174,0.030083489
143,140952.89902304174,0.030083489
144,140952.89902304174,0.030083489
145,140952.89902304174,0.030083489
146,140952.89902304174,0.030083489
147,140952.89902304174,0.030083489
148,140952.89902304174,0.030083489
149,140952.89902304174,0.030083489
150,140952.89902304174,0.030083489
151,140952.89902304174,0.030083489
152,140952.89902304174,0.030083489
153,140952.89902304174,0.030083489
154,140952.89902304174,0.030083489
155,140952.89902304174,0.030083489
156,140952.89902304174,0.030083489
157,140952.89902304174,0.030083489
158,140952.89902304174,0.030083489
159,140952.89902304174,0.030083489
160,140952.89902304174,0.030083489
161,140952.89902304174,0.030083489
162,140952.89902304174,0.030083489
163,140952.89902304174,0.030083489
164,140952.89902304174,0.030083489
165,140952.89902304174,0.030083489
166,140952.89902304174,0.030083489
167,140952.89902304174,0.030083489
168,140952.89902304174,0.030083489
169,140952.89902304174,0.030083489
170,140952.89902304174,0.030083489
171,140952.89902304174,0.030083489
172,140952.89902304174,0.030083489
173,140952.89902304174,0.030083489
174,140952.89902304174,0.030083489
175,140952.89902304174,0.030083489
176,140952.89902304174,0.030083489
177,140952.89902304174,0.030083489
178,140952.89902304174,0.030083489
179,140952.89902304174,0.030083489
180,140952.89902304174,0.030083489
181,140952.89902304174,0.030083489
182,140952.89902304174,0.030083489
183,140952.89902304174,0.030083489
184,140952.89902304174,0.030083489
185,140952.89902304174,0.030083489
186,140952.89902304174,0.030083489
187,140952.89902304174,0.030083489
188,140952.89902304174,0.030083489
189,140952.89902304174,0.030083489
190,140952.89902304174,0.030083489
191,140952.89902304174,0.030083489
192,140952.89902304174,0.030083489
193,140952.89902304174,0.030083489
194,140952.89902304174,0.030083489
195,140952.89902304174,0.030083489
196,140952.89902304174,0.030083489
197,140952.89902304174,0.030083489
198,140952.89902304174,0.030083489
199,140952.89902304174,0.030083489
200,140952.89902304174,0.02743639
201,140952.89902304174,0.02743639
202,140449.6785282022,0.02743639
203,140449.6785282022,0.02743639
204,140449.6785282022,0.02743639
