function,fade_avg,fade_best,fade_worst,fade_median,fade_var,sade_avg,sade_best,sade_worst,sade_median,sade_var,apdsde_avg,apdsde_best,apdsde_worst,apdsde_median,apdsde_var,rlpde_avg,rlpde_best,rlpde_worst,rlpde_median,rlpde_var
F1,196.42500981706604,0.2663150652567623,5531.984104505593,9.600733915998063,1015698.1694146642,4.736951571734001e-15,0.0,1.4210854715202004e-14,0.0,4.642491764059288e-29,127773.45618798633,0.08116586223428612,3813605.935076438,153.77351357026856,484616097618.0874,69.66402318779528,5.684341886080802e-14,2071.357568637634,9.503400756472047e-05,142932.46023097253
F2,1.0670261607022743e-05,1.3455569387588184e-06,3.879120598071495e-05,7.554779202223472e-06,7.4667982239141e-11,1.0262353513705118e-05,1.4336194453790085e-09,0.00027541718682755345,2.523632787188035e-07,2.5162538786356563e-09,357.74502955501197,0.002255843232347843,2332.9040108169916,78.67785317404511,455395.9003475039,9.12126532334683,3.130423920083558e-09,97.69068631575499,4.2062563920808316e-07,544.5605214185532
F3,631.4451357063393,97.90239430742969,1786.432298367079,552.4458874107941,167067.6147650479,3.789561257387201e-15,0.0,5.684341886080802e-14,0.0,2.079836310298561e-28,78.0527936421808,0.20753734642187283,729.635418648295,40.98098818404071,19299.206882873295,17.706484780086885,4.3110327396789216e-07,199.35658727219027,0.509244148869783,1947.3187317612183
F4,2.5504750126708586,0.009494121677732892,4.925452781332467,2.6618520825568908,1.824264150151983,0.2007843667320003,0.09125797981641881,0.3418089832624105,0.19778039105258927,0.005180938797090123,4.250433954767427,0.0005443892119387783,7.282450893466091,5.485190609093479,6.808037280974035,0.23768000619603905,1.2787768355337903e-07,1.7968193725572519,0.05487229316400999,0.19310200088562196
F5,4.725061625848222,1.0193137474352625,7.305439102583705,4.533095418746086,1.595051409303608,8.156880610807212,4.466563994408148,11.299774234450354,8.248888131158935,2.9875527500813717,9.090643327433543,5.970068302652123,14.924570306272813,8.955045591006495,5.641277422599403,3.397258694484456,0.012470599174378094,8.954626476020564,3.032881713475149,2.9345612293687617
F6,0.12876616904666585,0.01567608960885991,0.3309552300154337,0.09099265169965065,0.00887768482045391,4.0536968621533255e-05,0.0,0.0012157207177097007,0.0,4.9264814603666794e-08,2.152586897126135,0.21285318106481554,4.484695262419109,2.1055036638742877,1.4526911347412292,0.005252388056881803,1.4506508705380838e-07,0.024765980187794412,0.0033978374153775803,3.603592549005784e-05
F7,14.774984953968028,12.282318235147386,17.563863261860888,14.828482715527457,2.0061720822407634,20.581119253986955,15.130660094246196,28.291858653632403,20.269182555254588,5.224909789293869,20.286840135236545,15.781523359390007,24.241022392367654,20.514611201023,6.170190254866856,13.291893864565134,10.537750102239102,16.51246545804804,13.127169209435124,1.7680926216094377
F8,4.466846342375849,1.5003662094769652,6.052360280451921,4.653528360088785,1.3674610112869767,8.54050523083898,4.014100766896377,12.756266634926419,8.395832091162788,5.197354496559321,8.988347218914003,2.9850852841318556,12.937102329667596,8.954989732120453,7.47399804447971,3.3276582955005436,0.9949590722339963,7.959667418927438,3.027645635591682,1.9940622181686418
F9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.580253717757539e-05,4.774847184307873e-12,0.0011345806258304947,4.291405275580473e-08,6.024404723222335e-08,0.0,0.0,0.0,0.0,0.0
F10,225.33656502879055,53.28629139086388,390.3844705621809,224.18492513188085,8590.438832786791,557.3600540642448,290.6886375740128,905.0192598623571,560.1690201056119,23364.339729285213,267.2313677038377,18.63545899960809,553.8121460377929,259.5345225272158,13832.987164758504,115.81163177257392,0.9608179874867346,645.1895372329236,43.817117951549335,22551.401741734946
