Function,rlde_best,rlde_worst,rlde_mean,rlde_std,rlde_median
F1,2.11270317583423e-09,2.060080095417894e-06,1.2209285197748097e-06,8.82011394022532e-07,1.6005927607307e-06
F2,0.0,0.0,0.0,0.0,0.0
