Function,rlde_best,rlde_worst,rlde_mean,rlde_std,rlde_median,de_best,de_worst,de_mean,de_std,de_median,jade_best,jade_worst,jade_mean,jade_std,jade_median,lshade_best,lshade_worst,lshade_mean,lshade_std,lshade_median,shade_best,shade_worst,shade_mean,shade_std,shade_median
F1,54819.05388468603,78540.59608782326,66679.82498625465,11860.771101568616,66679.82498625465,12983730.71353553,13304987.330934493,13144359.02223501,160628.30869948026,13144359.02223501,209881.0228780802,343146.7898305627,276513.90635432146,66632.88347624126,276513.90635432146,798.1691247883942,12743.188730059512,6770.678927423953,5972.509802635558,6770.678927423953,263592.3673826487,505204.06003730674,384398.2137099777,120805.84632732904,384398.2137099777
F2,16.463453095686152,31.511242668946313,23.987347882316232,7.5238947866300805,23.987347882316232,52.29849037769943,122.79116727280808,87.54482882525376,35.24633844755433,87.54482882525376,0.7895234353568054,4.880288850070131,2.8349061427134683,2.0453827073566626,2.8349061427134683,1.235662339961867e-07,4.260149122672106e-07,2.7479057313169864e-07,1.5122433913551195e-07,2.7479057313169864e-07,0.6416538924148708,13.714146779372202,7.177900335893536,6.536246443478666,7.177900335893536
